date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,low,close,high,unadjustedVolume,open,changePercent,vwap,volume,changeOverTime,adjClose,change
2026-01-05,"January 05, 26",0.5,0.5,2026-01-05,2026-02-02,2025-12-09,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,658.4,679.55,679.77,2741768,661.19,2.78,669.7275,2741768,0.0278,679.55,18.36
2025-12-31,"December 31, 25",,,,,,652.75,653.57,666.66,1259928,656.8,-0.49178,657.445,1259928,-0.0049178,653.57,-3.23
2025-12-30,"December 30, 25",,,,,,659.35,659.64,668.44,1207000,665.65,-0.90288,663.27,1207000,-0.0090288,659.64,-6.01
2025-12-29,"December 29, 25",,,,,,651.69,663.46,671,2186100,659.6,0.5852,661.4375,2186100,0.005852,663.46,3.86
2025-12-26,"December 26, 25",,,,,,660.49,663.46,668.2,1155311,667.46,-0.59929,664.9025,1155311,-0.0059929,663.46,-4
2025-12-24,"December 24, 25",,,,,,658.27,667.32,673.5,1110900,660.63,1.01,664.93,1110900,0.0101,667.32,6.69
2025-12-23,"December 23, 25",,,,,,654,661.45,664.82,1997600,664.82,-0.5069,661.2725,1997600,-0.005069,661.45,-3.37
2025-12-22,"December 22, 25",,,,,,656.8,661.81,671.4,2694300,671.11,-1.39,665.28,2694300,-0.0139,661.81,-9.3
2025-12-19,"December 19, 25",,,,,,641.6,658.28,660.59,4489100,646.78,1.78,651.8125,4489100,0.0178,658.28,11.5
2025-12-18,"December 18, 25",,,,,,636.54,639.43,658.69,4426500,649.3,-1.52,645.99,4426500,-0.0152,639.43,-9.87
2025-12-17,"December 17, 25",,,,,,613.09,614.19,694,6770100,687,-10.6,652.07,6770100,-0.106,614.19,-72.81
2025-12-16,"December 16, 25",,,,,,671.01,686.22,699.88,3572244,687,-0.11354,686.0275,3572244,-0.0011354,686.22,-0.78
2025-12-15,"December 15, 25",,,,,,675,681.35,695.05,3529608,688.48,-1.04,684.97,3529608,-0.0104,681.35,-7.13
2025-12-12,"December 12, 25",,,,,,656.37,671.71,698.94,5225703,697.85,-3.75,681.2175,5225703,-0.0375,671.71,-26.14
2025-12-11,"December 11, 25",,,,,,681.2,704.2,711.15,4830900,711.15,-0.97729,701.925,4830900,-0.0097729,704.2,-6.95
2025-12-10,"December 10, 25",,,,,,679,723,731,11396415,692.15,4.46,706.2875,11396415,0.0446,723,30.85
2025-12-09,"December 09, 25",,,,,,613.2,625.3,636.88,3017500,617,1.35,623.095,3017500,0.0135,625.3,8.3
2025-12-08,"December 08, 25",,,,,,607.4,621.9,636.4,2540100,631.06,-1.45,624.19,2540100,-0.0145,621.9,-9.16
2025-12-05,"December 05, 25",,,,,,621.2,631.32,640,2348031,630.86,0.07291634,630.845,2348031,0.0007291634,631.32,0.46
2025-12-04,"December 04, 25",,,,,,602.9,629.11,639.14,3698500,605,3.99,619.0375,3698500,0.0399,629.11,24.11
2025-12-03,"December 03, 25",,,,,,575.38,601.97,608.85,2754500,595.88,1.02,595.52,2754500,0.0102,601.97,6.09
2025-12-02,"December 02, 25",,,,,,585,601.58,609.84,2890812,586.17,2.63,595.6475,2890812,0.0263,601.58,15.41
2025-12-01,"December 01, 25",,,,,,574.8,576.9,590,2302500,590,-2.22,582.925,2302500,-0.0222,576.9,-13.1
2025-11-28,"November 28, 25",,,,,,588.53,599.77,599.77,1006604,595,0.80168,595.7675,1006604,0.0080168,599.77,4.77
2025-11-26,"November 26, 25",,,,,,579.48,589.72,596.98,2223829,581.7,1.38,586.97,2223829,0.0138,589.72,8.02
2025-11-25,"November 25, 25",,,,,,553.25,572.56,582,2356500,575,-0.42435,570.7025,2356500,-0.0042435,572.56,-2.44
2025-11-24,"November 24, 25",,,,,,558.26,580.49,583,2748900,559.44,3.76,570.2975,2748900,0.0376,580.49,21.05
2025-11-21,"November 21, 25",,,,,,530.16,555.84,565.75,4872810,563.01,-1.27,553.69,4872810,-0.0127,555.84,-7.17
2025-11-20,"November 20, 25",,,,,,557.69,558.03,628.01,4874636,607.2,-8.1,587.7325,4874636,-0.081,558.03,-49.17
2025-11-19,"November 19, 25",,,,,,560.8,595.37,600,4212143,561,6.13,579.2925,4212143,0.0613,595.37,34.37
2025-11-18,"November 18, 25",,,,,,552.84,554.93,576.48,2986001,569.06,-2.48,563.3275,2986001,-0.0248,554.93,-14.13
2025-11-17,"November 17, 25",,,,,,569.84,577.02,592.35,2998024,573,0.70157,578.0525,2998024,0.0070157,577.02,4.02
2025-11-14,"November 14, 25",,,,,,542.91,578.31,591.81,4037300,545.2,6.07,564.5575,4037300,0.0607,578.31,33.11
2025-11-13,"November 13, 25",,,,,,537.36,558.17,574.32,5166900,574.32,-2.81,561.0425,5166900,-0.0281,558.17,-16.15
2025-11-12,"November 12, 25",,,,,,574.01,575.4,588.94,2026343,579.46,-0.70065,579.4525,2026343,-0.0070065,575.4,-4.06
2025-11-11,"November 11, 25",,,,,,563.1,576.08,582.8,1748507,580.61,-0.78021,575.6475,1748507,-0.0078021,576.08,-4.52
2025-11-10,"November 10, 25",,,,,,568.2,579.8,595.84,2555821,586.32,-1.11,582.54,2555821,-0.0111,579.8,-6.52
2025-11-07,"November 07, 25",,,,,,539.1,575.13,576.89,2823800,546.7,5.2,559.455,2823800,0.052,575.13,28.43
2025-11-06,"November 06, 25",,,,,,545.41,550.17,560.51,2215300,558.09,-1.42,553.545,2215300,-0.0142,550.17,-7.92
2025-11-05,"November 05, 25",,,,,,541.29,559.7,567.53,2844722,550,1.76,554.63,2844722,0.0176,559.7,9.7
2025-11-04,"November 04, 25",,,,,,541.44,547.96,576.21,3994942,571,-4.04,559.1525,3994942,-0.0404,547.96,-23.04
2025-11-03,"November 03, 25",,,,,,576.76,581.26,593.27,1853237,590.5,-1.56,585.4475,1853237,-0.0156,581.26,-9.24
2025-10-31,"October 31, 25",,,,,,576.5,585.14,592,2789500,580.13,0.8636,583.4425,2789500,0.008636,585.14,5.01
2025-10-30,"October 30, 25",,,,,,569.5,574.07,592.67,2305116,570,0.71404,576.56,2305116,0.0071404,574.07,4.07
2025-10-29,"October 29, 25",,,,,,569.27,577.97,585.58,2808513,576.27,0.295,577.2725,2808513,0.00295,577.97,1.7
2025-10-28,"October 28, 25",,,,,,565,570.98,591.92,3589300,590,-3.22,579.475,3589300,-0.0322,570.98,-19.02
2025-10-27,"October 27, 25",,,,,,580.01,584.39,594.08,2842400,590.8,-1.08,587.32,2842400,-0.0108,584.39,-6.41
2025-10-24,"October 24, 25",,,,,,584.18,584.39,613.81,3694200,607,-3.72,597.345,3694200,-0.0372,584.39,-22.61
2025-10-23,"October 23, 25",,,,,,580,595.15,600,3952712,580,2.61,588.7875,3952712,0.0261,595.15,15.15
2025-10-22,"October 22, 25",,,,,,532.72,576,609.54,10333100,607,-5.11,581.315,10333100,-0.0511,576,-31
2025-10-21,"October 21, 25",,,,,,581.76,585.33,596.78,3956400,593.86,-1.44,589.4325,3956400,-0.0144,585.33,-8.53
2025-10-20,"October 20, 25",0.25,0.25,2025-10-20,2025-11-17,2025-09-25,593.68,594.07,610,2634422,608.12,-2.31,601.4675,2634422,-0.0231,594.07,-14.05
2025-10-17,"October 17, 25",,,,,,591.65,600,608.82,2747710,595.27,0.7946,598.935,2747710,0.007946,599.75,4.73
2025-10-16,"October 16, 25",,,,,,595.2,602,623.63,3500605,621.5,-3.14,610.5825,3500605,-0.0314,601.75,-19.5
2025-10-15,"October 15, 25",,,,,,613.59,615.95,664.69,3246024,650.17,-5.26,636.1,3246024,-0.0526,615.69,-34.22
2025-10-14,"October 14, 25",,,,,,615.84,644.41,656.88,2890500,635,1.48,638.0325,2890500,0.0148,644.14,9.41
2025-10-13,"October 13, 25",,,,,,613.14,648.25,655.99,3406800,613.18,5.72,632.64,3406800,0.0572,647.98,35.07
2025-10-10,"October 10, 25",,,,,,602.6,604.56,634.27,3003600,630,-4.04,617.8575,3003600,-0.0404,604.31,-25.44
2025-10-09,"October 09, 25",,,,,,621.11,634.27,637.15,2414018,629,0.83784,630.3825,2414018,0.0083784,634.01,5.27
2025-10-08,"October 08, 25",,,,,,599,625.45,626.44,2286500,613,2.03,615.9725,2286500,0.0203,625.19,12.45
2025-10-07,"October 07, 25",,,,,,592,606.12,609.39,2161700,603.16,0.49075,602.6675,2161700,0.0049075,605.87,2.97
2025-10-06,"October 06, 25",,,,,,593.7,603.22,608.59,1950843,606,-0.45875,602.8775,1950843,-0.0045875,602.97,-2.78
2025-10-03,"October 03, 25",,,,,,588,594.99,611.75,2668500,610.29,-2.51,601.2575,2668500,-0.0251,594.74,-15.3
2025-10-02,"October 02, 25",,,,,,603.62,606.23,622.5,2044600,611.11,-0.79855,610.865,2044600,-0.0079855,605.98,-4.88
2025-10-01,"October 01, 25",,,,,,595,606.15,610.66,2423637,599.64,1.09,602.8625,2423637,0.0109,605.9,6.51
2025-09-30,"September 30, 25",,,,,,603.3,614.9,614.94,1818700,604.88,1.66,609.505,1818700,0.0166,614.64,10.02
2025-09-29,"September 29, 25",,,,,,596.38,602.43,616.44,2188700,612.45,-1.64,606.925,2188700,-0.0164,602.18,-10.02
2025-09-26,"September 26, 25",,,,,,598.11,605.17,615.14,1845327,610,-0.7918,607.105,1845327,-0.007918,604.92,-4.83
2025-09-25,"September 25, 25",,,,,,593.38,607.52,619.75,3202500,614.91,-1.2,608.89,3202500,-0.012,607.27,-7.38
2025-09-24,"September 24, 25",,,,,,624.19,628.97,642,1617200,640,-1.72,633.79,1617200,-0.0172,628.71,-11.03
2025-09-23,"September 23, 25",,,,,,622.2,633.41,644.72,2427243,644.68,-1.75,636.2525,2427243,-0.0175,633.15,-11.27
2025-09-22,"September 22, 25",,,,,,620.11,644.37,648.5,2566029,620.11,3.91,633.2725,2566029,0.0391,644.1,24.26
2025-09-19,"September 19, 25",,,,,,596.51,624.17,625.66,4107343,611.69,2.04,614.5075,4107343,0.0204,623.91,12.48
2025-09-18,"September 18, 25",,,,,,611,611,627.1,2245600,622.96,-1.92,618.015,2245600,-0.0192,610.74,-11.96
2025-09-17,"September 17, 25",,,,,,601.12,614.79,619.11,2058400,616.4,-0.26119,612.855,2058400,-0.0026119,614.53,-1.61
2025-09-16,"September 16, 25",,,,,,608.73,617.91,633.52,3104100,629.5,-1.84,622.415,3104100,-0.0184,617.65,-11.59
2025-09-15,"September 15, 25",,,,,,624.1,628.68,639.89,1851900,630.15,-0.23328,630.705,1851900,-0.0023328,628.42,-1.47
2025-09-12,"September 12, 25",,,,,,624.15,625.55,646.88,2640400,632.12,-1.04,632.175,2640400,-0.0104,625.29,-6.57
2025-09-11,"September 11, 25",,,,,,620.1,634.15,653.5,4099922,648.75,-2.25,639.125,4099922,-0.0225,633.88,-14.6
2025-09-10,"September 10, 25",,,,,,623,643.56,645.19,3878700,625,2.97,634.1875,3878700,0.0297,643.29,18.56
2025-09-09,"September 09, 25",,,,,,594.77,605.7,607.69,1863901,606.35,-0.1072,603.6275,1863901,-0.001072,605.45,-0.65
2025-09-08,"September 08, 25",,,,,,584.94,600.23,606,2513708,594.41,0.97912,596.395,2513708,0.0097912,599.98,5.82
2025-09-05,"September 05, 25",,,,,,565.5,582.08,604.5,3477710,599.96,-2.98,588.01,3477710,-0.0298,581.84,-17.88
2025-09-04,"September 04, 25",,,,,,580.06,598.81,600.37,3195400,580.81,3.1,590.0125,3195400,0.031,598.56,18
2025-09-03,"September 03, 25",,,,,,565.43,577.04,586.29,3657500,586.29,-1.58,578.7625,3657500,-0.0158,576.8,-9.25
2025-09-02,"September 02, 25",,,,,,567.86,579.68,594,5267320,590.55,-1.84,583.0225,5267320,-0.0184,579.44,-10.87
2025-08-29,"August 29, 25",,,,,,609.34,612.97,635,2266400,631.86,-2.99,622.2925,2266400,-0.0299,612.71,-18.89
2025-08-28,"August 28, 25",,,,,,626.78,633.69,646.95,2256421,626.78,1.1,633.55,2256421,0.011,633.42,6.91
2025-08-27,"August 27, 25",,,,,,618,622.39,629.93,1862900,625.22,-0.45264,623.885,1862900,-0.0045264,622.13,-2.83
2025-08-26,"August 26, 25",,,,,,603.04,625.91,628.58,2689400,603.85,3.65,615.345,2689400,0.0365,625.65,22.06
2025-08-25,"August 25, 25",,,,,,597.03,602.31,614.47,2130000,608.83,-1.07,605.66,2130000,-0.0107,602.06,-6.52
2025-08-22,"August 22, 25",,,,,,602.5,607.07,623.98,2727705,607.97,-0.14803,610.38,2727705,-0.0014803,606.82,-0.9
2025-08-21,"August 21, 25",,,,,,605.31,606,620,2566600,607.02,-0.16803,609.5825,2566600,-0.0016803,605.75,-1.02
2025-08-20,"August 20, 25",,,,,,581.23,604.59,607.77,3575848,592.61,2.02,596.55,3575848,0.0202,604.34,11.98
2025-08-19,"August 19, 25",,,,,,595.19,603.13,620.98,3096700,620.55,-2.81,609.9625,3096700,-0.0281,602.88,-17.42
2025-08-18,"August 18, 25",,,,,,614.23,625.02,628.55,1860413,621.38,0.58579,622.295,1860413,0.0058579,624.76,3.64
2025-08-15,"August 15, 25",,,,,,607.86,621.91,624.03,2488202,624.03,-0.33973,619.4575,2488202,-0.0033973,621.65,-2.12
2025-08-14,"August 14, 25",,,,,,620.28,625.27,640.28,2534442,627,-0.27592,628.2075,2534442,-0.0027592,625.01,-1.73
2025-08-13,"August 13, 25",,,,,,614.23,634.31,666.15,3936413,662.32,-4.23,644.2525,3936413,-0.0423,634.04,-28.01
2025-08-12,"August 12, 25",,,,,,651,657.44,662.84,1804875,652.74,0.72004,656.005,1804875,0.0072004,657.16,4.7
2025-08-11,"August 11, 25",,,,,,637.37,650.76,653.42,1687604,641,1.52,645.6375,1687604,0.0152,650.49,9.76
2025-08-08,"August 08, 25",,,,,,639.17,649.09,656.25,1888714,655.23,-0.93708,649.935,1888714,-0.0093708,648.82,-6.14
2025-08-07,"August 07, 25",,,,,,638.52,645.86,669.38,2239900,665.77,-2.99,654.8825,2239900,-0.0299,645.59,-19.91
2025-08-06,"August 06, 25",,,,,,644,664.55,666.29,1894900,646.63,2.77,655.3675,1894900,0.0277,664.27,17.92
2025-08-05,"August 05, 25",,,,,,643.96,649.72,665.11,2180246,661.24,-1.74,655.0075,2180246,-0.0174,649.45,-11.52
2025-08-04,"August 04, 25",,,,,,653.95,662.77,674.97,2155916,659.36,0.51717,662.7625,2155916,0.0051717,662.49,3.41
2025-08-01,"August 01, 25",,,,,,632.46,656.5,664.26,3077400,638.18,2.87,647.85,3077400,0.0287,656.22,18.32
2025-07-31,"July 31, 25",,,,,,656.07,660.29,677.29,3343017,660,0.04393939,663.4125,3343017,0.0004393939,660.01,0.29
2025-07-30,"July 30, 25",,,,,,635.17,655,656.17,2699600,639.95,2.35,646.5725,2699600,0.0235,654.72,15.05
2025-07-29,"July 29, 25",,,,,,629.99,632.67,655.65,2749930,646.99,-2.21,641.325,2749930,-0.0221,632.4,-14.32
2025-07-28,"July 28, 25",,,,,,631.16,647.66,648.52,2920600,638.26,1.47,641.4,2920600,0.0147,647.39,9.4
2025-07-25,"July 25, 25",,,,,,626,644.59,651.22,3604500,630,2.32,637.9525,3604500,0.0232,644.32,14.59
2025-07-24,"July 24, 25",,,,,,615.3,623.97,633.07,3918600,632.27,-1.31,626.1525,3918600,-0.0131,623.71,-8.3
2025-07-23,"July 23, 25",,,,,,585,629.03,633.72,7081300,595.75,5.59,610.875,7081300,0.0559,628.77,33.28
2025-07-22,"July 22, 25",,,,,,537.16,548.99,558.51,3938500,558.51,-1.7,550.7925,3938500,-0.017,548.76,-9.52
2025-07-21,"July 21, 25",0.25,0.25,2025-07-21,2025-08-18,2025-06-23,564.66,565.91,577.63,2146844,576.14,-1.78,571.085,2146844,-0.0178,565.67,-10.23
2025-07-18,"July 18, 25",,,,,,567,574.6,579.03,2052804,570.61,0.69925,572.81,2052804,0.0069925,574.11,3.99
2025-07-17,"July 17, 25",,,,,,566.22,570.17,581.27,2569448,568.65,0.2673,571.5775,2569448,0.002673,569.69,1.52
2025-07-16,"July 16, 25",,,,,,552,561.17,566.52,1955126,559.62,0.27697,559.8275,1955126,0.0027697,560.69,1.55
2025-07-15,"July 15, 25",,,,,,545.49,559.61,560.63,2576900,556.81,0.50286,555.635,2576900,0.0050286,559.13,2.8
2025-07-14,"July 14, 25",,,,,,540,555.04,555.86,2471743,541.45,2.51,548.0875,2471743,0.0251,554.57,13.59
2025-07-11,"July 11, 25",,,,,,534.67,539.16,546.65,2286510,538,0.21561,539.62,2286510,0.0021561,538.7,1.16
2025-07-10,"July 10, 25",,,,,,520,539.36,542.37,2510575,539.04,0.0593648,535.1925,2510575,0.000593648,538.9,0.32
2025-07-09,"July 09, 25",,,,,,530,535.77,545.63,2295700,535.56,0.03921129,536.74,2295700,0.0003921129,535.31,0.21
2025-07-08,"July 08, 25",,,,,,511.5,530,537.22,3130700,535,-0.93458,528.43,3130700,-0.0093458,529.55,-5
2025-07-07,"July 07, 25",,,,,,514.08,530.28,531.19,2268100,520,1.98,523.8875,2268100,0.0198,529.83,10.28
2025-07-03,"July 03, 25",,,,,,506.02,517.04,519.71,1809200,511.74,1.04,513.6275,1809200,0.0104,516.6,5.3
2025-07-02,"July 02, 25",,,,,,497.3,505.07,511.52,3389533,502.58,0.49544,504.1175,3389533,0.0049544,504.64,2.49
2025-07-01,"July 01, 25",,,,,,482.2,506,528,6527000,525.16,-3.65,510.34,6527000,-0.0365,505.57,-19.16
2025-06-30,"June 30, 25",,,,,,516.59,529.15,531.37,2030100,524.27,0.93082,525.345,2030100,0.0093082,528.7,4.88
2025-06-27,"June 27, 25",,,,,,503,519.66,532.59,9150300,507,2.5,515.5625,9150300,0.025,519.22,12.66
2025-06-26,"June 26, 25",,,,,,498.81,506.81,508.91,2205700,505,0.35842,504.8825,2205700,0.0035842,506.38,1.81
2025-06-25,"June 25, 25",,,,,,502.25,502.67,522.97,2476001,516,-2.58,510.9725,2476001,-0.0258,502.24,-13.33
2025-06-24,"June 24, 25",,,,,,496.73,510.84,512.82,2692600,505.96,0.9645,506.5875,2692600,0.009645,510.41,4.88
2025-06-23,"June 23, 25",,,,,,479.04,499.88,500.04,3098000,486.66,2.72,491.405,3098000,0.0272,499.46,13.22
2025-06-20,"June 20, 25",,,,,,480.55,486.96,496.01,4002784,493.53,-1.33,489.2625,4002784,-0.0133,486.55,-6.57
2025-06-18,"June 18, 25",,,,,,482.01,490.19,491.13,2240200,486.79,0.69845,487.53,2240200,0.0069845,489.77,3.4
2025-06-17,"June 17, 25",,,,,,481.6,488.66,494.02,2160400,486.77,0.38827,487.7625,2160400,0.0038827,488.24,1.89
2025-06-16,"June 16, 25",,,,,,480,487.88,492.53,2134809,480,1.64,485.1025,2134809,0.0164,487.47,7.88
2025-06-13,"June 13, 25",,,,,,474.21,478.45,484.63,2433901,477.68,0.1612,478.7425,2433901,0.001612,478.04,0.77
2025-06-12,"June 12, 25",,,,,,478.1,487.67,489.71,2431914,478.81,1.85,483.5725,2431914,0.0185,487.26,8.86
2025-06-11,"June 11, 25",,,,,,464,483.47,484.33,3100433,469.52,2.97,475.33,3100433,0.0297,483.06,13.95
2025-06-10,"June 10, 25",,,,,,458.65,465.31,482.69,3944400,482.36,-3.53,472.2525,3944400,-0.0353,464.91,-17.05
2025-06-09,"June 09, 25",,,,,,479.8,480,492.31,2346900,492,-2.44,486.0275,2346900,-0.0244,479.59,-12
2025-06-06,"June 06, 25",,,,,,478,485,488.95,2101100,486.78,-0.36567,484.6825,2101100,-0.0036567,484.59,-1.78
